;Area;BoundingBox;Centroid;Circularity;Eccentricity;Frame;GradientScore;Inlet;Outlet;Label;Major Axis;Minor Axis;Solidity;Symmetry;Perimeter;PixelIdxList
Area;x;;;<=====;;;;;;;;;<=====;;;
BoundingBox;;x;;;;;;;;;;;;;;
Centroid;;;x;;;;<=====;;;;;;;<=====;;
Circularity;;;;x;;;;;;;;;;;;
Eccentricity;;;;;x;;;;;;;;;;;
Frame;;;;;;x;;;;;;;;;;
GradientScore;;;;;;;x;;;;;;;;;
Inlet;;;;;;;;x;;;;;;;;
Outlet;;;;;;;;;x;;;;;;;
Label;;;;;;;;;;x;;;;;;
Major Axis;;;;;<=====;;;;;;x;;;<=====;;
Minor Axis;;;;;<=====;;;;;;;x;;;;
Solidity;;;;;;;;;;;;;x;;;
Symmetry;;;;;;;;;;;;;;x;;
Perimeter;;;;<=====;;;;;;;;;;;x;
PixelIdxList;;;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
